setting,group,method,split,stationary_error,nonstationary_error
2,data_160_50_space,stsave,"(2, 2, 2)",0.2414373416224594,0.2405638765261414
2,data_160_50_space,stsave,"(3, 3, 3)",0.005038299,0.004096987
2,data_160_50_space,stsave,"(4, 4, 4)",0.005513491,0.004565173
2,data_160_50_space,stsir,"(2, 2, 2)",1.1800215527424234,1.179856440522221
2,data_160_50_space,stsir,"(3, 3, 3)",1.1946381647038424,1.194288654124281
2,data_160_50_space,stsir,"(4, 4, 4)",1.196695255,1.1966085873670185
2,data_160_50_space_time,random,"(2, 2, 2)",1.202482415781598,1.2024456817188558
2,data_160_50_space_time,random,"(3, 3, 3)",1.202482415781598,1.2024456817188558
2,data_160_50_space_time,random,"(4, 4, 4)",1.202482415781598,1.2024456817188558
2,data_160_50_space_time,stcomb,"(2, 2, 2)",0.343019966,0.3422252760963459
2,data_160_50_space_time,stcomb,"(3, 3, 3)",0.007095542,0.006163856
2,data_160_50_space_time,stcomb,"(4, 4, 4)",0.007084654,0.006116694
2,data_160_50_space_time,stlcor,"(2, 2, 2)",1.2534950937500002,1.2537014080943614
2,data_160_50_space_time,stlcor,"(3, 3, 3)",1.2213454314627956,1.221746755810743
2,data_160_50_space_time,stlcor,"(4, 4, 4)",1.1788499385088864,1.1789680341915536
2,data_160_50_space_time,stsave,"(2, 2, 2)",0.2593443295758557,0.2584604544806591
2,data_160_50_space_time,stsave,"(3, 3, 3)",0.00709627,0.006160711
2,data_160_50_space_time,stsave,"(4, 4, 4)",0.007087454,0.006115151
2,data_160_50_space_time,stsir,"(2, 2, 2)",1.1950109881824975,1.1948778352597875
2,data_160_50_space_time,stsir,"(3, 3, 3)",1.1993570971407486,1.1995895299811494
2,data_160_50_space_time,stsir,"(4, 4, 4)",1.1919190157648876,1.192153768576653
2,data_160_50_time,random,"(2, 2, 2)",1.2026527091447323,1.2028300102777454
2,data_160_50_time,random,"(3, 3, 3)",1.2026527091447323,1.2028300102777452
2,data_160_50_time,random,"(4, 4, 4)",1.2026527091447323,1.2028300102777452
2,data_160_50_time,stcomb,"(2, 2, 2)",0.012815861,0.010912617
2,data_160_50_time,stcomb,"(3, 3, 3)",0.007914311,0.005964474
2,data_160_50_time,stcomb,"(4, 4, 4)",0.009295211,0.007289119
2,data_160_50_time,stlcor,"(2, 2, 2)",1.181534427,1.180884947938685
